tourn_type,tourn_name,tourn_id,tourn_location,tourn_start_year,tourn_ground,tourn_value,tourn_winner,winner_id
ATP 250,Nur-Sultan,9410,nur-sultan,2021,Hard,"$541,800",Soonwoo Kwon,kf17
ATP 250,Metz,341,metz,2021,Hard,"€481,270",Hubert Hurkacz,hb71
Laver Cup,Laver Cup,9210,laver-cup,2021,Hard,,,
ATP 250,San Diego,9569,san-diego,2021,Hard,"$661,800",Casper Ruud,rh16
ATP 250,Sofia,7434,sofia,2021,Hard,"€481,270",Jannik Sinner,s0ag
ATP 250,Chengdu (Cancelled),7581,chengdu,2021,Hard,,,
ATP 250,Zhuhai (Cancelled),9164,zhuhai,2021,Hard,,,
Masters 1000,ATP Masters 1000 Shanghai (Cancelled),5014,shanghai,2021,Hard,,,
ATP 500,Beijing (Cancelled),747,beijing,2021,Hard,,,
ATP 500,Tokyo (Cancelled),329,tokyo,2021,Hard,,,
Masters 1000,ATP Masters 1000 Indian Wells,404,indian-wells,2021,Hard,"$9,146,125",Cameron Norrie,n771
ATP 250,Moscow,438,moscow,2021,Hard,"$779,515",Aslan Karatsev,kc56
ATP 250,Antwerp,7485,antwerp,2021,Hard,"€584,125",Jannik Sinner,s0ag
ATP 500,Vienna,337,vienna,2021,Hard,"€2,089,335",Alexander Zverev,z355
ATP 250,St. Petersburg,568,st-petersburg,2021,Hard,"$932,370",Marin Cilic,c977
ATP 500,Basel (Cancelled),328,basel,2021,Hard,,,
Masters 1000,ATP Masters 1000 Paris,352,paris,2021,Hard,"€5,688,155",Novak Djokovic,d643
ATP 250,Stockholm,429,stockholm,2021,Hard,"€711,275",Tommy Paul,pl56
Next Gen Finals,Intesa Sanpaolo Next Gen ATP Finals,7696,intesa-sanpaolo-next-gen-atp-finals,2021,Hard,"$1,300,000",Carlos Alcaraz,a0e2
ATP Finals,Nitto ATP Finals,605,nitto-atp-finals,2021,Hard,"$7,250,000",Alexander Zverev,z355
ATP Cup,ATP Cup,8888,atp-cup,2022,Hard,"$10,000,000",Felix Auger-Aliassime,ag37
ATP 250,Adelaide International 1,8998,adelaide,2022,Hard,"$416,800",Gael Monfils,mc65
ATP 250,Melbourne Summer Set,9665,melbourne,2022,Hard,"$521,000",Rafael Nadal,n409
ATP 250,Sydney Tennis Classic,9663,sydney,2022,Hard,"$521,000",Aslan Karatsev,kc56
ATP 250,Adelaide International 2,9667,adelaide,2022,Hard,"$493,875",Thanasi Kokkinakis,kd46
Grand Slam,Australian Open,580,australian-open,2022,Hard,"A$33,784,200",Rafael Nadal,n409
ATP 250,Cordoba Open,9158,cordoba,2022,Clay,"$493,875",Albert Ramos-Vinolas,r772
ATP 250,Tata Open Maharashtra,891,pune,2022,Hard,"$493,875",Joao Sousa,sh90
ATP 250,Open Sud de France – Montpellier,375,montpellier,2022,Hard,"€490,990",Alexander Bublik,bk92
ATP 500,ABN AMRO Open,407,rotterdam,2022,Hard,"€1,349,070",Felix Auger-Aliassime,ag37
ATP 250,Dallas Open,424,dallas,2022,Hard,"$792,980",Reilly Opelka,o522
